,season,player,league,position,age
0,2014-2015,Steven Gerrard,9,Midfielder,34.6
1,2014-2015,Raheem Sterling,7,Midfielder,20.1
2,2014-2015,Jordan Henderson,6,Midfielder,24.6
3,2014-2015,Philippe Coutinho,5,Midfielder,22.6
4,2014-2015,Adam Lallana,5,Midfielder,26.7
5,2014-2015,Daniel Sturridge,4,Striker,25.4
6,2014-2015,Lazar Markovic,2,Midfielder,20.8
7,2014-2015,Rickie Lambert,2,Striker,32.9
8,2014-2015,Alberto Moreno,2,Defender,22.5
9,2014-2015,Mario Balotelli,1,Striker,24.4
10,2014-2015,Emre Can,1,Midfielder,21.0
11,2014-2015,Glen Johnson,1,Defender,30.4
12,2014-2015,Martin Skrtel,1,Defender,30.1
13,2014-2015,Fabio Borini,1,Striker,23.8
14,2014-2015,Joe Allen,1,Midfielder,24.8
15,2013-2014,Luis Suarez,31,Striker,27.0
16,2013-2014,Daniel Sturridge,21,Striker,24.4
17,2013-2014,Steven Gerrard,13,Midfielder,33.6
18,2013-2014,Raheem Sterling,9,Midfielder,19.1
19,2013-2014,Martin Skrtel,7,Defender,29.1
20,2013-2014,Philippe Coutinho,5,Midfielder,21.6
21,2013-2014,Jordan Henderson,4,Midfielder,23.6
22,2013-2014,Daniel Agger,2,Defender,29.1
23,2013-2014,Victor Moses,1,Midfielder,23.1
24,2013-2014,Joe Allen,1,Midfielder,23.8
25,2013-2014,Jon Flanagan,1,Defender,21.0
26,2013-2014,Mamadou Sakho,1,Defender,23.9
27,2012-2013,Luis Suarez,23,Striker,26.0
28,2012-2013,Daniel Sturridge,10,Striker,23.4
29,2012-2013,Steven Gerrard,9,Midfielder,32.6
30,2012-2013,Jordan Henderson,5,Midfielder,22.6
31,2012-2013,Stewart Downing,3,Midfielder,28.5
32,2012-2013,Daniel Agger,3,Defender,28.1
33,2012-2013,Philippe Coutinho,3,Midfielder,20.6
34,2012-2013,Raheem Sterling,2,Midfielder,18.1
35,2012-2013,Martin Skrtel,2,Defender,28.1
36,2012-2013,Jose Enrique,2,Defender,27.0
37,2012-2013,Jonjo Shelvey,1,Midfielder,20.9
38,2012-2013,Nuri Sahin,1,Midfielder,24.3
39,2012-2013,Fabio Borini,1,Striker,21.8
40,2012-2013,Joe Cole,1,Midfielder,31.2
41,2012-2013,Glen Johnson,1,Defender,28.4
42,2011-2012,Luis Suarez,11,Striker,25.0
43,2011-2012,Craig Bellamy,6,Striker,32.5
44,2011-2012,Steven Gerrard,5,Midfielder,31.6
45,2011-2012,Andy Carroll,4,Striker,23.0
46,2011-2012,Maxi Rodriguez,4,Midfielder,31.0
47,2011-2012,Dirk Kuyt,2,Striker,31.5
48,2011-2012,Martin Skrtel,2,Defender,27.1
49,2011-2012,Jordan Henderson,2,Midfielder,21.6
50,2011-2012,Charlie Adam,2,Midfielder,26.1
51,2011-2012,Jonjo Shelvey,1,Midfielder,19.9
52,2011-2012,Daniel Agger,1,Defender,27.1
53,2011-2012,Glen Johnson,1,Defender,27.4
54,2011-2012,Sebastian Coates,1,Defender,21.2
55,2010-2011,Dirk Kuyt,13,Striker,30.5
56,2010-2011,Maxi Rodriguez,10,Midfielder,30.0
57,2010-2011,Fernando Torres,9,Striker,26.8
58,2010-2011,Raul Meireles,5,Midfielder,27.8
59,2010-2011,Steven Gerrard,4,Midfielder,30.6
60,2010-2011,Luis Suarez,4,Striker,24.0
61,2010-2011,David N'Gog,2,Striker,21.8
62,2010-2011,Joe Cole,2,Midfielder,29.2
63,2010-2011,Andy Carroll,2,Striker,22.0
64,2010-2011,Glen Johnson,2,Defender,26.4
65,2010-2011,Martin Skrtel,2,Defender,26.1
66,2010-2011,Sotirios Kyrgiakos,2,Defender,31.5
67,2010-2011,Ryan Babel,1,Midfielder,24.1
68,2009-2010,Fernando Torres,18,Striker,25.8
69,2009-2010,Steven Gerrard,9,Midfielder,29.6
70,2009-2010,Dirk Kuyt,9,Striker,29.5
71,2009-2010,Yossi Benayoun,6,Midfielder,29.7
72,2009-2010,David N'Gog,5,Striker,20.8
73,2009-2010,Ryan Babel,4,Midfielder,23.1
74,2009-2010,Glen Johnson,3,Defender,25.4
75,2009-2010,Alberto Aquilani,1,Midfielder,25.5
76,2009-2010,Martin Skrtel,1,Defender,25.1
77,2009-2010,Sotirios Kyrgiakos,1,Defender,30.5
78,2009-2010,Maxi Rodriguez,1,Midfielder,29.0
79,2008-2009,Steven Gerrard,16,Midfielder,28.6
80,2008-2009,Fernando Torres,14,Striker,24.8
81,2008-2009,Dirk Kuyt,12,Striker,28.5
82,2008-2009,Yossi Benayoun,8,Midfielder,28.7
83,2008-2009,Robbie Keane,5,Striker,28.5
84,2008-2009,Xabi Alonso,4,Midfielder,27.1
85,2008-2009,Albert Riera,3,Midfielder,26.7
86,2008-2009,Ryan Babel,3,Midfielder,22.1
87,2008-2009,David N'Gog,2,Striker,19.8
88,2008-2009,Fabio Aurelio,2,Defender,29.3
89,2008-2009,Lucas Leiva,1,Midfielder,22.0
90,2008-2009,Daniel Agger,1,Defender,24.1
91,2008-2009,Sami Hyypia,1,Defender,35.3
92,2008-2009,Andrea Dossena,1,Defender,27.3
93,2008-2009,Jamie Carragher,1,Defender,30.9
94,2008-2009,Alvaro Arbeloa,1,Defender,26.0
95,2007-2008,Fernando Torres,24,Striker,23.8
96,2007-2008,Steven Gerrard,11,Midfielder,27.6
97,2007-2008,Peter Crouch,5,Striker,26.9
98,2007-2008,Andriy Voronin,5,Striker,28.5
99,2007-2008,Yossi Benayoun,4,Midfielder,27.7
100,2007-2008,Ryan Babel,4,Midfielder,21.0
101,2007-2008,Dirk Kuyt,3,Striker,27.5
102,2007-2008,Xabi Alonso,2,Midfielder,26.1
103,2007-2008,Jermaine Pennant,2,Midfielder,25.0
104,2007-2008,Sami Hyypia,1,Defender,34.3
105,2007-2008,Momo Sissoko,1,Midfielder,23.0
106,2007-2008,Javier Mascherano,1,Midfielder,23.6
107,2007-2008,Fabio Aurelio,1,Defender,28.3
108,2006-2007,Dirk Kuyt,12,Striker,26.5
109,2006-2007,Peter Crouch,9,Striker,25.9
110,2006-2007,Steven Gerrard,7,Midfielder,26.6
111,2006-2007,Craig Bellamy,7,Striker,27.5
112,2006-2007,Xabi Alonso,4,Midfielder,25.1
113,2006-2007,Robbie Fowler,3,Striker,31.8
114,2006-2007,Luis Garcia,3,Midfielder,28.5
115,2006-2007,Daniel Agger,2,Defender,22.1
116,2006-2007,Mark Gonzalez,2,Midfielder,22.5
117,2006-2007,Sami Hyypia,2,Defender,33.3
118,2006-2007,John Arne Riise,1,Defender,26.3
119,2006-2007,Jamie Carragher,1,Defender,28.9
120,2006-2007,Harry Kewell,1,Midfielder,28.3
121,2006-2007,Jermaine Pennant,1,Midfielder,24.0
122,2006-2007,Alvaro Arbeloa,1,Defender,24.0
123,2005-2006,Steven Gerrard,10,Midfielder,25.6
124,2005-2006,Djibril Cisse,9,Striker,24.4
125,2005-2006,Peter Crouch,8,Striker,24.9
126,2005-2006,Luis Garcia,7,Midfielder,27.5
127,2005-2006,Fernando Morientes,5,Striker,29.8
128,2005-2006,Robbie Fowler,5,Striker,30.8
129,2005-2006,Xabi Alonso,3,Midfielder,24.1
130,2005-2006,Harry Kewell,3,Midfielder,27.3
131,2005-2006,Bolo Zenden,2,Midfielder,29.4
132,2005-2006,John Arne Riise,1,Defender,25.3
133,2005-2006,Sami Hyypia,1,Defender,32.3
134,2005-2006,Stephen Warnock,1,Defender,24.1
135,2004-2005,Milan Baros,9,Striker,23.2
136,2004-2005,Luis Garcia,8,Midfielder,26.5
137,2004-2005,Steven Gerrard,7,Midfielder,24.6
138,2004-2005,John Arne Riise,6,Defender,24.3
139,2004-2005,Djibril Cisse,4,Striker,23.4
140,2004-2005,Fernando Morientes,3,Striker,28.8
141,2004-2005,Neil Mellor,2,Striker,22.2
142,2004-2005,Florent Sinama-Pongolle,2,Striker,20.2
143,2004-2005,Sami Hyypia,2,Defender,31.3
144,2004-2005,Xabi Alonso,2,Midfielder,23.1
145,2004-2005,Igor Biscan,2,Midfielder,26.7
146,2004-2005,Harry Kewell,1,Midfielder,26.3
147,2004-2005,Steve Finnan,1,Defender,28.7
148,2003-2004,Michael Owen,16,Striker,24.1
149,2003-2004,Emile Heskey,7,Striker,26.0
150,2003-2004,Harry Kewell,7,Midfielder,25.3
151,2003-2004,Danny Murphy,5,Midfielder,26.8
152,2003-2004,Steven Gerrard,4,Midfielder,23.6
153,2003-2004,Sami Hyypia,4,Defender,30.3
154,2003-2004,Vladimir Smicer,3,Midfielder,30.6
155,2003-2004,Bruno Cheyrou,2,Midfielder,25.7
156,2003-2004,Didi Hamann,2,Midfielder,30.4
157,2003-2004,Florent Sinama-Pongolle,2,Striker,19.2
158,2003-2004,Milan Baros,1,Striker,22.2
159,2002-2003,Michael Owen,19,Striker,23.1
160,2002-2003,Milan Baros,9,Striker,21.2
161,2002-2003,Danny Murphy,7,Midfielder,25.8
162,2002-2003,Emile Heskey,6,Striker,25.0
163,2002-2003,John Arne Riise,6,Defender,22.3
164,2002-2003,Steven Gerrard,5,Midfielder,22.6
165,2002-2003,El Hadji Diouf,3,Striker,22.0
166,2002-2003,Sami Hyypia,3,Defender,29.3
167,2002-2003,Didi Hamann,2,Midfielder,29.4
168,2002-2003,Salif Diao,1,Midfielder,25.9
169,2001-2002,Michael Owen,19,Striker,22.1
170,2001-2002,Emile Heskey,9,Striker,24.0
171,2001-2002,John Arne Riise,7,Defender,21.3
172,2001-2002,Danny Murphy,6,Midfielder,24.8
173,2001-2002,Jari Litmanen,4,Midfielder,30.9
174,2001-2002,Nicolas Anelka,4,Striker,22.8
175,2001-2002,Vladimir Smicer,4,Midfielder,28.6
176,2001-2002,Sami Hyypia,3,Defender,28.3
177,2001-2002,Robbie Fowler,3,Striker,26.8
178,2001-2002,Steven Gerrard,3,Midfielder,21.6
179,2001-2002,Jamie Redknapp,1,Midfielder,28.5
180,2001-2002,Abel Xavier,1,Defender,29.1
181,2001-2002,Didi Hamann,1,Midfielder,28.4
182,2001-2002,Patrik Berger,1,Midfielder,28.2
183,2000-2001,Michael Owen,16,Striker,21.1
184,2000-2001,Emile Heskey,14,Striker,23.0
185,2000-2001,Robbie Fowler,8,Striker,25.8
186,2000-2001,Steven Gerrard,7,Midfielder,20.6
187,2000-2001,Gary McAllister,5,Midfielder,36.0
188,2000-2001,Danny Murphy,4,Midfielder,23.8
189,2000-2001,Markus Babbel,3,Defender,28.3
190,2000-2001,Sami Hyypia,3,Defender,27.3
191,2000-2001,Nick Barmby,2,Midfielder,26.9
192,2000-2001,Vladimir Smicer,2,Midfielder,27.6
193,2000-2001,Didi Hamann,2,Midfielder,27.4
194,2000-2001,Patrik Berger,2,Midfielder,27.2
195,2000-2001,Jari Litmanen,1,Midfielder,29.9
196,2000-2001,Christian Ziege,1,Defender,28.9
197,1999-2000,Michael Owen,11,Striker,20.1
198,1999-2000,Titi Camara,9,Striker,27.1
199,1999-2000,Patrik Berger,9,Midfielder,26.2
200,1999-2000,Danny Murphy,3,Midfielder,22.8
201,1999-2000,David Thompson,3,Midfielder,22.3
202,1999-2000,Jamie Redknapp,3,Midfielder,26.5
203,1999-2000,Robbie Fowler,3,Striker,24.7
204,1999-2000,Emile Heskey,3,Striker,22.0
205,1999-2000,Sami Hyypia,2,Defender,26.3
206,1999-2000,Vladimir Smicer,1,Midfielder,26.6
207,1999-2000,Steven Gerrard,1,Midfielder,19.6
208,1999-2000,Didi Hamann,1,Midfielder,26.4
209,1999-2000,Vegard Heggem,1,Defender,24.5
210,1998-1999,Michael Owen,18,Striker,19.1
211,1998-1999,Robbie Fowler,14,Striker,23.7
212,1998-1999,Jamie Redknapp,8,Midfielder,25.5
213,1998-1999,Patrik Berger,7,Midfielder,25.2
214,1998-1999,Paul Ince,6,Midfielder,31.2
215,1998-1999,Karl-Heinz Riedle,5,Striker,33.3
216,1998-1999,Steve McManaman,4,Midfielder,26.9
217,1998-1999,Vegard Heggem,2,Defender,23.5
218,1998-1999,Jamie Carragher,1,Defender,20.9
219,1998-1999,David Thompson,1,Midfielder,21.3
220,1998-1999,Oyvind Leonhardsen,1,Midfielder,28.4
221,1998-1999,Dominic Matteo,1,Defender,24.7
222,1997-1998,Michael Owen,18,Striker,18.1
223,1997-1998,Steve McManaman,11,Midfielder,25.9
224,1997-1998,Robbie Fowler,9,Striker,22.7
225,1997-1998,Paul Ince,8,Midfielder,30.2
226,1997-1998,Karl-Heinz Riedle,6,Striker,32.3
227,1997-1998,Oyvind Leonhardsen,6,Midfielder,27.4
228,1997-1998,Jamie Redknapp,3,Midfielder,24.5
229,1997-1998,Patrik Berger,3,Striker,24.2
230,1997-1998,Jason McAteer,2,Midfielder,26.6
231,1997-1998,Michael Thomas,1,Midfielder,30.4
232,1997-1998,David Thompson,1,Midfielder,20.3
233,1996-1997,Robbie Fowler,18,Striker,21.7
234,1996-1997,Stan Collymore,12,Striker,26.0
235,1996-1997,Steve McManaman,7,Midfielder,24.9
236,1996-1997,Patrik Berger,6,Striker,23.2
237,1996-1997,John Barnes,4,Midfielder,33.2
238,1996-1997,Michael Thomas,3,Midfielder,29.4
239,1996-1997,Stig Inge Bjornebye,2,Defender,27.1
240,1996-1997,Jamie Redknapp,2,Midfielder,23.5
241,1996-1997,Neil Ruddock,1,Defender,28.7
242,1996-1997,Jamie Carragher,1,Midfielder,18.9
243,1996-1997,Phil Babb,1,Defender,26.1
244,1996-1997,Michael Owen,1,Striker,17.1
245,1996-1997,Jason McAteer,1,Midfielder,25.6
246,1995-1996,Robbie Fowler,28,Striker,20.7
247,1995-1996,Stan Collymore,14,Striker,25.0
248,1995-1996,Steve McManaman,6,Midfielder,23.9
249,1995-1996,Ian Rush,5,Striker,34.2
250,1995-1996,Neil Ruddock,5,Defender,27.7
251,1995-1996,Jamie Redknapp,3,Midfielder,22.5
252,1995-1996,John Barnes,3,Midfielder,32.2
253,1995-1996,Mark Wright,2,Defender,32.4
254,1995-1996,Steve Harkness,1,Defender,24.4
255,1995-1996,Michael Thomas,1,Midfielder,28.4
256,1994-1995,Robbie Fowler,25,Striker,19.7
257,1994-1995,Ian Rush,12,Striker,33.2
258,1994-1995,John Barnes,7,Midfielder,31.2
259,1994-1995,Steve McManaman,7,Midfielder,22.9
260,1994-1995,Jamie Redknapp,3,Midfielder,21.5
261,1994-1995,John Scales,2,Defender,28.5
262,1994-1995,Neil Ruddock,2,Defender,26.7
263,1994-1995,Jan Molby,2,Midfielder,31.5
264,1994-1995,Steve Harkness,1,Defender,23.4
265,1993-1994,Ian Rush,14,Striker,32.2
266,1993-1994,Robbie Fowler,12,Striker,18.7
267,1993-1994,Nigel Clough,7,Midfielder,27.8
268,1993-1994,Jamie Redknapp,4,Midfielder,20.5
269,1993-1994,Neil Ruddock,3,Defender,25.7
270,1993-1994,Julian Dicks,3,Defender,25.4
271,1993-1994,John Barnes,3,Midfielder,30.2
272,1993-1994,Jan Molby,2,Midfielder,30.5
273,1993-1994,Steve McManaman,2,Midfielder,21.9
274,1993-1994,Mike Marsh,1,Midfielder,24.5
275,1993-1994,Steve Nicol,1,Defender,32.1
276,1993-1994,Ronnie Whelan,1,Midfielder,32.3
277,1993-1994,Mark Wright,1,Defender,30.4
278,1992-1993,Ian Rush,14,Striker,31.2
279,1992-1993,Mark Walters,11,Midfielder,28.6
280,1992-1993,Don Hutchison,7,Midfielder,21.7
281,1992-1993,Ronny Rosenthal,6,Striker,29.2
282,1992-1993,John Barnes,5,Midfielder,29.2
283,1992-1993,Steve McManaman,4,Midfielder,20.9
284,1992-1993,Jan Molby,3,Midfielder,29.5
285,1992-1993,Mark Wright,2,Defender,29.4
286,1992-1993,Jamie Redknapp,2,Midfielder,19.5
287,1992-1993,David Burrows,2,Defender,24.2
288,1992-1993,Mike Marsh,1,Midfielder,23.5
289,1992-1993,Paul Stewart,1,Midfielder,28.3
290,1992-1993,Dean Saunders,1,Striker,28.6
291,1992-1993,Michael Thomas,1,Midfielder,25.4
292,1992-1993,Ronnie Whelan,1,Midfielder,31.3
293,1991-1992,Dean Saunders,10,Striker,27.5
294,1991-1992,Ray Houghton,8,Midfielder,30.0
295,1991-1992,Steve McManaman,5,Midfielder,19.9
296,1991-1992,Ian Rush,4,Striker,30.2
297,1991-1992,Mark Walters,3,Midfielder,27.6
298,1991-1992,Michael Thomas,3,Midfielder,24.4
299,1991-1992,Jan Molby,3,Midfielder,28.5
300,1991-1992,Ronny Rosenthal,3,Striker,28.2
301,1991-1992,John Barnes,1,Midfielder,28.2
302,1991-1992,Barry Venison,1,Defender,27.4
303,1991-1992,Nick Tanner,1,Defender,26.6
304,1991-1992,David Burrows,1,Defender,23.2
305,1991-1992,Glenn Hysen,1,Defender,32.2
306,1991-1992,Steve Nicol,1,Defender,30.1
307,1991-1992,Jamie Redknapp,1,Midfielder,18.5
308,1991-1992,Steve McMahon,1,Midfielder,30.4
309,1990-1991,Ian Rush,16,Striker,29.2
310,1990-1991,John Barnes,16,Midfielder,27.2
311,1990-1991,Peter Beardsley,11,Striker,30.0
312,1990-1991,Jan Molby,9,Midfielder,27.5
313,1990-1991,Ray Houghton,7,Midfielder,29.0
314,1990-1991,David Speedie,6,Striker,30.9
315,1990-1991,Ronny Rosenthal,5,Striker,27.2
316,1990-1991,Steve Nicol,3,Defender,29.1
317,1990-1991,Gary Gillespie,1,Defender,30.5
318,1990-1991,Ronnie Whelan,1,Midfielder,29.3
319,1989-1990,John Barnes,22,Striker,26.2
320,1989-1990,Ian Rush,18,Striker,28.2
321,1989-1990,Peter Beardsley,10,Striker,29.0
322,1989-1990,Ronny Rosenthal,7,Striker,26.2
323,1989-1990,Steve Nicol,6,Defender,28.1
324,1989-1990,Steve McMahon,5,Midfielder,28.4
325,1989-1990,Gary Gillespie,4,Defender,29.5
326,1989-1990,Ronnie Whelan,1,Midfielder,28.3
327,1989-1990,Glenn Hysen,1,Defender,30.2
328,1989-1990,John Aldridge,1,Striker,31.3
329,1989-1990,Jan Molby,1,Midfielder,26.5
330,1989-1990,Ray Houghton,1,Midfielder,28.0
331,1988-1989,John Aldridge,21,Striker,30.3
332,1988-1989,Peter Beardsley,10,Striker,28.0
333,1988-1989,John Barnes,8,Midfielder,25.2
334,1988-1989,Ian Rush,7,Striker,27.2
335,1988-1989,Ray Houghton,7,Midfielder,27.0
336,1988-1989,Ronnie Whelan,4,Midfielder,27.3
337,1988-1989,Steve McMahon,3,Midfielder,27.4
338,1988-1989,Jan Molby,2,Midfielder,25.5
339,1988-1989,Steve Nicol,2,Defender,27.1
340,1988-1989,Gary Gillespie,1,Defender,28.5
341,1987-1988,John Aldridge,26,Striker,29.3
342,1987-1988,Peter Beardsley,15,Striker,27.0
343,1987-1988,John Barnes,15,Midfielder,24.2
344,1987-1988,Steve McMahon,9,Midfielder,26.4
345,1987-1988,Steve Nicol,6,Defender,26.1
346,1987-1988,Ray Houghton,5,Midfielder,26.0
347,1987-1988,Craig Johnston,5,Midfielder,27.5
348,1987-1988,Gary Gillespie,4,Defender,27.5
349,1987-1988,Alan Hansen,1,Defender,32.6
350,1987-1988,Ronnie Whelan,1,Midfielder,26.3
351,1986-1987,Ian Rush,30,Striker,25.2
352,1986-1987,Jan Molby,7,Midfielder,23.5
353,1986-1987,Kenny Dalglish,6,Midfielder,35.9
354,1986-1987,Paul Walsh,6,Striker,24.3
355,1986-1987,Steve McMahon,5,Midfielder,25.4
356,1986-1987,John Wark,5,Midfielder,29.4
357,1986-1987,Steve Nicol,3,Midfielder,25.1
358,1986-1987,Ronnie Whelan,3,Midfielder,25.3
359,1986-1987,Craig Johnston,3,Midfielder,26.5
360,1986-1987,John Aldridge,2,Striker,28.3
361,1986-1987,Gary Ablett,1,Defender,21.1
362,1985-1986,Ian Rush,22,Striker,24.2
363,1985-1986,Jan Molby,14,Midfielder,22.5
364,1985-1986,Paul Walsh,11,Striker,23.3
365,1985-1986,Ronnie Whelan,10,Midfielder,24.3
366,1985-1986,Craig Johnston,7,Midfielder,25.5
367,1985-1986,Steve McMahon,6,Midfielder,24.4
368,1985-1986,Steve Nicol,4,Defender,24.1
369,1985-1986,Kenny Dalglish,3,Midfielder,34.9
370,1985-1986,John Wark,3,Midfielder,28.4
371,1985-1986,Mark Lawrenson,3,Defender,28.6
372,1985-1986,Gary Gillespie,3,Defender,25.5
373,1985-1986,Kevin MacDonald,1,Midfielder,25.1
374,1985-1986,Jim Beglin,1,Defender,22.4
375,1985-1986,Phil Neal,1,Defender,34.9
376,1984-1985,John Wark,18,Midfielder,27.4
377,1984-1985,Ian Rush,14,Striker,23.2
378,1984-1985,Paul Walsh,8,Striker,22.3
379,1984-1985,Ronnie Whelan,7,Midfielder,23.3
380,1984-1985,Kenny Dalglish,6,Midfielder,33.9
381,1984-1985,Steve Nicol,5,Midfielder,23.1
382,1984-1985,Phil Neal,4,Defender,33.9
383,1984-1985,Jim Beglin,1,Defender,21.4
384,1984-1985,Mark Lawrenson,1,Defender,27.6
385,1984-1985,Jan Molby,1,Midfielder,21.5
386,1984-1985,Gary Gillespie,1,Defender,24.5
387,1984-1985,Alan Kennedy,1,Defender,30.4
388,1983-1984,Ian Rush,32,Striker,22.2
389,1983-1984,Graeme Souness,7,Midfielder,30.7
390,1983-1984,Kenny Dalglish,7,Midfielder,32.9
391,1983-1984,Michael Robinson,6,Striker,25.5
392,1983-1984,Steve Nicol,5,Midfielder,22.1
393,1983-1984,Ronnie Whelan,4,Midfielder,22.3
394,1983-1984,Craig Johnston,2,Midfielder,23.5
395,1983-1984,Sammy Lee,2,Midfielder,24.9
396,1983-1984,John Wark,2,Midfielder,26.4
397,1983-1984,Alan Kennedy,2,Defender,29.4
398,1983-1984,Phil Neal,1,Defender,32.9
399,1983-1984,Alan Hansen,1,Defender,28.6
400,1982-1983,Ian Rush,24,Striker,21.2
401,1982-1983,Kenny Dalglish,18,Midfielder,31.9
402,1982-1983,Graeme Souness,9,Midfielder,29.7
403,1982-1983,Phil Neal,8,Defender,31.9
404,1982-1983,Craig Johnston,7,Midfielder,22.5
405,1982-1983,Mark Lawrenson,5,Defender,25.6
406,1982-1983,David Hodgson,4,Striker,22.4
407,1982-1983,Alan Kennedy,3,Defender,28.4
408,1982-1983,David Fairclough,3,Striker,26.0
409,1982-1983,Sammy Lee,3,Midfielder,23.9
410,1982-1983,Ronnie Whelan,2,Midfielder,21.3
411,1981-1982,Ian Rush,17,Striker,20.2
412,1981-1982,Terry McDermott,14,Midfielder,30.1
413,1981-1982,Kenny Dalglish,13,Striker,30.9
414,1981-1982,Ronnie Whelan,10,Midfielder,20.3
415,1981-1982,Craig Johnston,6,Midfielder,21.5
416,1981-1982,Graeme Souness,5,Midfielder,28.7
417,1981-1982,Sammy Lee,3,Midfielder,22.9
418,1981-1982,Alan Kennedy,3,Defender,27.4
419,1981-1982,David Johnson,2,Striker,30.2
420,1981-1982,Mark Lawrenson,2,Defender,24.6
421,1981-1982,Ray Kennedy,2,Midfielder,30.5
422,1981-1982,Phil Neal,2,Defender,30.9
423,1980-1981,Terry McDermott,13,Midfielder,29.1
424,1980-1981,Kenny Dalglish,8,Striker,29.9
425,1980-1981,David Johnson,8,Striker,29.2
426,1980-1981,Ray Kennedy,8,Midfielder,29.5
427,1980-1981,Graeme Souness,6,Midfielder,27.7
428,1980-1981,Sammy Lee,4,Midfielder,21.9
429,1980-1981,David Fairclough,4,Striker,24.0
430,1980-1981,Alan Kennedy,2,Defender,26.4
431,1980-1981,Phil Neal,2,Defender,29.9
432,1980-1981,Alan Hansen,1,Defender,25.6
433,1980-1981,Jimmy Case,1,Midfielder,26.6
434,1980-1981,Ronnie Whelan,1,Midfielder,19.3
435,1980-1981,Colin Irwin,1,Defender,23.9
436,1980-1981,Howard Gayle,1,Striker,22.6
437,1979-1980,David Johnson,21,Striker,28.2
438,1979-1980,Kenny Dalglish,16,Striker,28.8
439,1979-1980,Terry McDermott,11,Midfielder,28.1
440,1979-1980,Ray Kennedy,9,Midfielder,28.4
441,1979-1980,David Fairclough,5,Striker,23.0
442,1979-1980,Alan Hansen,4,Defender,24.6
443,1979-1980,Jimmy Case,3,Midfielder,25.6
444,1979-1980,Colin Irwin,2,Defender,22.9
445,1979-1980,Graeme Souness,1,Midfielder,26.7
446,1979-1980,Phil Neal,1,Defender,28.9
447,1979-1980,Avi Cohen,1,Defender,23.1
448,1979-1980,Alan Kennedy,1,Defender,25.4
449,1978-1979,Kenny Dalglish,21,Striker,27.8
450,1978-1979,David Johnson,16,Striker,27.2
451,1978-1979,Ray Kennedy,10,Midfielder,27.4
452,1978-1979,Graeme Souness,8,Midfielder,25.7
453,1978-1979,Terry McDermott,8,Midfielder,27.1
454,1978-1979,Jimmy Case,7,Midfielder,24.6
455,1978-1979,Phil Neal,5,Defender,27.9
456,1978-1979,Steve Heighway,4,Midfielder,31.1
457,1978-1979,Alan Kennedy,3,Defender,24.4
458,1978-1979,David Fairclough,2,Striker,22.0
459,1978-1979,Alan Hansen,1,Defender,23.6
460,1977-1978,Kenny Dalglish,20,Striker,26.8
461,1977-1978,David Fairclough,10,Striker,21.0
462,1977-1978,Jimmy Case,5,Midfielder,23.6
463,1977-1978,Steve Heighway,5,Midfielder,30.1
464,1977-1978,Terry McDermott,4,Midfielder,26.1
465,1977-1978,Phil Neal,4,Defender,26.9
466,1977-1978,Ray Kennedy,4,Midfielder,26.4
467,1977-1978,David Johnson,3,Striker,26.2
468,1977-1978,Phil Thompson,3,Defender,24.0
469,1977-1978,Tommy Smith,2,Defender,32.8
470,1977-1978,Graeme Souness,2,Midfielder,24.7
471,1977-1978,Sammy Lee,1,Midfielder,18.9
472,1976-1977,Kevin Keegan,12,Striker,25.9
473,1976-1977,John Toshack,10,Striker,27.8
474,1976-1977,Steve Heighway,8,Midfielder,29.1
475,1976-1977,Phil Neal,7,Defender,25.9
476,1976-1977,Ray Kennedy,7,Midfielder,25.4
477,1976-1977,David Johnson,5,Striker,25.2
478,1976-1977,David Fairclough,3,Striker,20.0
479,1976-1977,Joey Jones,3,Defender,21.8
480,1976-1977,Phil Thompson,2,Defender,23.0
481,1976-1977,Jimmy Case,1,Midfielder,22.6
482,1976-1977,Terry McDermott,1,Midfielder,25.1
483,1976-1977,Ian Callaghan,1,Midfielder,34.8
484,1976-1977,Emlyn Hughes,1,Defender,29.4
485,1975-1976,John Toshack,16,Striker,26.8
486,1975-1976,Kevin Keegan,12,Striker,24.9
487,1975-1976,David Fairclough,7,Striker,19.0
488,1975-1976,Jimmy Case,6,Midfielder,21.6
489,1975-1976,Ray Kennedy,6,Midfielder,24.4
490,1975-1976,Phil Neal,6,Defender,24.9
491,1975-1976,Steve Heighway,4,Midfielder,28.1
492,1975-1976,Ian Callaghan,3,Midfielder,33.8
493,1975-1976,Emlyn Hughes,2,Defender,28.4
494,1975-1976,Brian Hall,2,Midfielder,29.1
495,1975-1976,Peter Cormack,1,Midfielder,29.5
496,1975-1976,Terry McDermott,1,Midfielder,24.1
497,1974-1975,John Toshack,12,Striker,25.8
498,1974-1975,Kevin Keegan,10,Striker,23.9
499,1974-1975,Steve Heighway,9,Midfielder,27.1
500,1974-1975,Phil Boersma,6,Striker,25.3
501,1974-1975,Ray Kennedy,5,Striker,23.4
502,1974-1975,Brian Hall,5,Midfielder,28.1
503,1974-1975,Peter Cormack,3,Midfielder,28.5
504,1974-1975,Alec Lindsay,3,Defender,26.9
505,1974-1975,Tommy Smith,2,Defender,29.8
506,1974-1975,Terry McDermott,2,Midfielder,23.1
507,1974-1975,Emlyn Hughes,1,Defender,27.4
508,1974-1975,Ian Callaghan,1,Midfielder,32.8
509,1973-1974,Kevin Keegan,12,Striker,22.9
510,1973-1974,Peter Cormack,9,Midfielder,27.5
